,isbn,Title,author,last,first,wikiPage
0,9780307777812,Theodore Rex,Edmund Morris,Morris,Edmund,<WikipediaPage 'Edmund Morris (writer)'>
1,1090353472,Oedipus Rex Or Oedipus the King: (annotated) (Worldwide Classics),Sophocles Sophocles,Sophocles,Sophocles,<WikipediaPage 'Sophocles'>
2,9780307777829,The Rise of Theodore Roosevelt,Edmund Morris,Morris,Edmund,<WikipediaPage 'Edmund Morris (writer)'>
3,9780812967883,The Scientists,John Gribbin,Gribbin,John,<WikipediaPage 'John Gribbin'>
4,9781135564001,"A History of the Life Sciences, Revised and Expanded",Lois Magner,Magner,Lois,<WikipediaPage 'Ligature (medicine)'>
5,9781847656780,The Art Of Innovation,Tom Kelley,Kelley,Tom,<WikipediaPage 'Tom Kelley (photographer)'>
6,9781410347596,"A Study Guide for Margaret Atwood's ""Half Hanged Mary""","Gale, Learning",Learning,"Gale,",<WikipediaPage 'Gale (publisher)'>
7,9780143126393,The Shadow of the Wind,Carlos Zafon,Zafon,Carlos,<WikipediaPage 'Carlos Ruiz Zafón'>
8,0190974281,The Book and the Sword,Louis Cha,Cha,Louis,<WikipediaPage 'Jin Yong'>
9,142991551X,The Knight,Gene Wolfe,Wolfe,Gene,<WikipediaPage 'Gene Wolfe'>
10,9781429925877,Soldier of Sidon,Gene Wolfe,Wolfe,Gene,<WikipediaPage 'Gene Wolfe'>
11,9781429961325,The Right Stuff,Tom Wolfe,Wolfe,Tom,<WikipediaPage 'Tom Wolfe'>
12,075286663X,The Best American Mystery Stories 4,Michael Connelly,Connelly,Michael,NaN
13,9781512462913,Day and Night,Robin Nelson,Nelson,Robin,<WikipediaPage 'Robin (character)'>
14,9780817357849,Active Romanticism,Julie Carr,Carr,Julie,<WikipediaPage 'Julie Carr'>
15,1554885833,No Cherubs for Melanie,James Hawkins,Hawkins,James,NaN
16,039307000X,The Second Blush: Poems,Molly Peacock,Peacock,Molly,<WikipediaPage 'Molly Peacock'>
17,9781780334547,Street of the Five Moons,Elizabeth Peters,Peters,Elizabeth,NaN
18,9781429978842,Stand on Zanzibar,John Brunner,Brunner,John,<WikipediaPage 'John Brunner (novelist)'>
19,0345467175,The Shockwave Riders,John Brunner,Brunner,John,<WikipediaPage 'John Brunner (novelist)'>
20,9780781785891,Brunner & Suddarth's Textbook of Medical-surgical Nursing,Suzanne Smeltzer,Smeltzer,Suzanne,<WikipediaPage 'Fecal vomiting'>
21,9780252094514,John Brunner,Jad Smith,Smith,Jad,<WikipediaPage 'The Deceivers (Bester novel)'>
22,0099377705,The Sheep Look Up,John Brunner,Brunner,John,<WikipediaPage 'John Brunner (novelist)'>
23,UOM:39015013282846,Entry to Elsewhen,John Brunner,Brunner,John,<WikipediaPage 'John Brunner (novelist)'>
24,9781497622326,The Crucible of Time,John Brunner,Brunner,John,<WikipediaPage 'John Brunner (novelist)'>
